Id,LotFrontage,LotArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,SalePrice,House_Age,House_Age_Squared,Garage_Age,Garage_Age_Squared,Remodel_Age,Remodel_Age_Squared,MSZoning_E,Alley_E,LotShape_E,LandContour_E,LotConfig_E,Neighborhood_E,Condition1_E,Condition2_E,BldgType_E,HouseStyle_E,RoofStyle_E,RoofMatl_E,Exterior1st_E,Exterior2nd_E,MasVnrType_E,ExterQual_E,ExterCond_E,Foundation_E,BsmtQual_E,BsmtCond_E,BsmtExposure_E,BsmtFinType1_E,BsmtFinType2_E,Heating_E,HeatingQC_E,CentralAir_E,Electrical_E,KitchenQual_E,Functional_E,FireplaceQu_E,GarageType_E,GarageFinish_E,GarageQual_E,GarageCond_E,PavedDrive_E,PoolQC_E,Fence_E,MiscFeature_E,SaleType_E,SaleCondition_E,MSSubClass_E,OverallQual_E,OverallCond_E,BsmtFullBath_E,FullBath_E,HalfBath_E,BedroomAbvGr_E,KitchenAbvGr_E,TotRmsAbvGrd_E,Fireplaces_E,GarageCars_E,MoSold_E,2ndFlrSF_cat_E,BsmtFinSF1_cat_E,BsmtFinSF2_cat_E,BsmtUnfSF_cat_E,EnclosedPorch_cat_E,GarageArea_cat_E,MasVnrArea_cat_E,MiscVal_cat_E,OpenPorchSF_cat_E,PoolArea_cat_E,ScreenPorch_cat_E,TotalBsmtSF_cat_E,WoodDeckSF_cat_E,House_Decade_Built_E,Garage_Decade_Built_E,Remodel_Decade_Built_E
1,-0.25081212321652857,-0.26613976836564757,-1.4154281803037778,-0.37141412616898356,-0.5225124397655185,0.346312561616577,0.27253457465583153,12.24769911637256,-0.9306907192466021,-0.9448840807014584,-0.8377835621967801,-0.8503253987089429,-0.40130776628563275,-0.4089542603628536,4,3,1,2,1,17,5,5,5,7,2,3,12,13,3,3,4,6,4,4,2,7,6,6,5,2,6,3,7,2,6,3,4,6,3,1,5,4,5,5,15,7,8,3,3,3,5,4,8,1,3,4,2,2,2,2,2,2,2,2,2,1,1,2,1,14,11,6
2,0.5044610472104119,0.030466781073921402,-0.7548870068978613,0.46524567089695756,0.32982611226072467,-0.32363547988301467,-0.17420630472641507,12.109016442313738,-0.0508034658336962,-0.05007099173939455,0.07778936553246721,0.07652335946686974,0.401307766285633,0.394225155850088,4,3,1,2,2,21,3,5,5,6,2,3,6,6,2,2,4,3,4,4,5,5,6,6,5,2,6,2,7,4,6,3,4,6,3,1,5,4,5,5,12,6,6,1,3,2,5,4,5,2,3,2,1,2,2,2,2,2,1,2,1,1,1,2,2,8,8,3
3,-0.08687589461457491,0.39915971508042586,-0.3151668370012375,-0.21603276718311532,-0.3642192804738611,0.4422191487881247,0.5377651451671456,12.317171167298682,-0.8033241281223237,-0.810611995344192,-0.7052513516456788,-0.7112461685253362,-0.3403077443866934,-0.3454212913212063,4,3,2,2,1,17,5,5,5,7,2,3,12,13,3,3,4,6,4,4,3,7,6,6,5,2,6,3,7,4,6,3,4,6,3,1,5,4,5,5,15,7,8,3,3,3,5,4,5,2,3,12,2,2,2,2,2,2,2,2,2,1,1,2,1,14,11,6
4,-0.541352683461139,0.018327959078060205,-0.08839693752341635,-0.6390942599301446,-0.26849360505143427,0.35532240948218025,0.6766878332062706,11.849404844423074,0.5783105709697077,0.5645096157940338,-0.5459767728767978,-0.546939334815548,0.4905555721310164,0.48069978967327254,4,3,2,2,3,18,5,5,5,7,2,3,5,9,2,2,4,2,3,5,2,5,6,6,4,2,6,3,7,5,3,2,4,6,3,1,5,4,5,2,10,7,8,3,1,2,5,4,6,2,5,4,2,2,2,2,1,2,1,2,2,1,1,2,1,5,10,3
5,0.6822283690374858,0.9503087902753189,-0.18923940894991623,0.2555188795501021,0.11616910342084608,0.9000447202605727,1.3509641601191953,12.429220196836383,-0.7480976165946908,-0.7530622915700261,-0.6477850130307019,-0.6516360978475111,-0.23474999452526502,-0.23677605408491934,4,3,2,2,2,25,5,5,5,7,2,3,12,13,3,3,4,6,4,4,4,7,6,6,5,2,6,3,7,4,6,3,4,6,3,1,5,4,5,5,15,8,8,3,3,3,7,4,9,2,5,10,2,2,2,2,2,2,2,2,2,1,1,2,2,14,11,6
6,0.725362871191378,0.9265499637327356,-2.291934879938857,-0.5280060566440788,-0.6820388562949093,-0.15548363386161793,-0.06560472151932085,11.870606902224587,-0.4564303845180956,-0.4545589548952934,-0.3442886041905359,-0.3424458878236142,-0.03309270530972856,-0.03303501362611523,4,3,2,2,1,12,5,5,5,3,2,3,12,13,2,2,4,5,4,4,2,7,6,6,5,2,6,2,7,2,6,2,4,6,3,1,3,2,5,5,7,5,8,3,1,3,3,4,4,1,3,5,2,2,2,2,2,2,1,1,2,1,1,2,2,13,10,5
7,0.2694798066776909,0.14480596679305974,-0.6409555187141203,1.0897342892927273,0.976415308682191,0.3255794334073776,0.6527140675164007,12.634606283893019,-1.0054481406492326,-1.0248149621527998,-0.9155729277292476,-0.9331179272570078,-0.5468099549655148,-0.5630392969369303,4,3,1,2,1,20,5,5,5,6,2,3,12,13,4,3,4,6,5,4,4,7,6,6,5,2,6,3,7,5,6,3,4,6,3,1,5,4,5,5,12,8,8,3,3,2,5,4,6,2,3,8,1,2,2,2,2,2,2,2,2,1,1,2,2,14,11,6
8,0.0,0.212506366051712,-1.0383496589251429,0.1827687351061208,0.04205564297666515,0.788911336964933,-0.04442710197999785,12.206077645517674,0.0,0.0,0.13065327255206602,0.12838696884714862,0.4476496704653079,0.43916860874604235,4,3,2,2,3,14,8,5,5,7,2,3,8,10,4,2,4,3,4,4,3,5,2,6,5,2,6,2,7,4,6,3,4,6,3,1,5,2,5,5,15,7,5,3,3,3,5,4,6,3,3,11,2,2,1,2,1,2,2,1,2,1,1,2,2,8,8,3
9,-1.1300619387536213,-1.0160326852509107,0.5003782847589249,-0.14234665679050043,-0.1333696506693691,0.42735037091308326,-0.13021067425089938,11.774527900858468,0.4638975822753873,0.45343339928266435,0.6133651949295585,0.5980539733028604,0.7160419334400853,0.6979011174078563,2,3,1,2,1,6,1,5,5,3,2,3,11,9,2,2,4,2,3,4,2,6,6,6,4,2,3,2,4,4,3,2,3,6,3,1,5,4,5,2,7,7,8,1,3,2,2,3,8,3,3,1,2,1,2,2,1,2,1,2,1,1,1,2,2,7,7,1
10,-1.2016750217446392,-0.5682991001132291,-1.4866806678301083,-0.05581674918281665,-0.018273147777116215,-0.6731483269467455,-2.2340731024450573,11.678448377988165,0.39789484434175404,0.38924710945606955,0.5446855774289687,0.5315697167005139,0.7160419334400853,0.6979011174078563,4,3,1,2,3,4,1,2,1,1,2,3,6,6,2,2,4,2,3,4,2,7,6,6,5,2,6,2,7,4,6,3,5,6,3,1,5,4,5,5,4,5,5,3,1,2,2,3,4,3,2,7,1,2,2,2,2,2,1,2,2,1,1,2,1,7,7,1
